Listar Por Lojas;Quebrar Por Forma de pagamento;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;-0,01;0,00;3,28;1,74;;;;;;;;;;;810,19;-0,01;359,72;2,34;71,34;68,06;810,21;5,00;0,00;1,58
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;3.056,33;3.056,33;1.431,81;1,00;4,35;707,51;0,00;0,00;0,00;13,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;1.548,70;282,61;5,48;2,63;;;;;;;;;;;1.548,71;1.548,71;106,90;3,48;63,50;482,75;0,00;0,00;0,00;1,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;9.774,28;175,86;55,58;2,38;;;;;;;;;;;9.774,71;9.774,71;1.785,45;95,58;97,95;4.286,90;0,00;0,00;196,00;59,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;35.389,10;241,98;146,25;2,98;;;;;;;;;;;35.389,23;35.389,23;4.587,94;146,25;100,00;11.632,03;0,00;0,00;0,00;36,97
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;5.451,47;168,10;32,43;2,46;;;;;;;;;;;5.451,49;5.451,49;885,91;32,43;100,00;1.462,87;0,00;0,00;0,00;8,02
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;2.535,63;281,74;9,00;4,22;;;;;;;;;;;2.535,66;2.535,66;0,00;9,00;100,00;1.775,64;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;9.366,54;173,20;54,08;2,58;;;;;;;;;;;9.366,55;9.366,55;2.138,30;53,08;98,15;2.421,88;0,00;0,00;0,00;20,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29 - CREDIARIO;808,73;269,58;3,00;3,00;;;;;;;;;;;808,73;808,73;215,94;3,00;100,00;425,37;0,00;0,00;0,00;1,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;0,00;0,00;2,95;1,33;;;;;;;;;;;324,70;0,00;159,80;2,95;100,00;144,89;324,70;3,00;0,00;2,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;32 - VALE PRESENTE;150,00;211,27;0,71;2,00;;;;;;;;;;;150,00;150,00;0,00;0,71;100,00;31,31;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;80,00;80,00;1,00;3,00;;;;;;;;;;;765,20;765,20;467,54;1,00;11,11;312,52;0,00;0,00;0,00;5,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;733,69;122,28;6,00;2,17;;;;;;;;;;;733,69;733,69;39,90;6,00;100,00;763,01;0,00;0,00;0,00;2,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;9.013,63;169,75;53,10;2,06;;;;;;;;;;;9.014,20;9.014,20;3.023,12;94,10;94,95;3.964,29;0,00;0,00;0,00;70,71
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;51.794,50;274,45;188,72;3,26;;;;;;;;;;;51.795,31;51.795,31;2.203,73;186,72;98,94;18.572,72;0,00;0,00;0,00;15,66
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;4.772,56;205,27;23,25;2,05;;;;;;;;;;;4.772,66;4.772,66;1.145,80;23,25;100,00;1.254,76;0,00;0,00;0,00;8,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;140,00;140,00;1,00;1,00;;;;;;;;;;;140,00;140,00;140,00;1,00;100,00;49,90;0,00;0,00;0,00;1,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25 - POS DEBITO;294,80;294,80;1,00;2,00;;;;;;;;;;;294,80;294,80;0,00;1,00;100,00;10,00;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;10.697,09;157,61;67,87;2,42;;;;;;;;;;;10.697,27;10.697,27;1.356,10;62,87;92,63;5.035,10;0,00;0,00;0,00;13,63
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;0,00;0,00;4,06;1,70;;;;;;;;;;;806,29;0,00;318,80;4,06;100,00;214,51;806,30;5,00;0,00;2,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;250,91;250,91;1,00;1,00;;;;;;;;;;;2.147,45;2.147,45;1.227,42;15,00;100,00;225,35;0,00;0,00;0,00;9,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;319,62;106,54;3,00;2,00;;;;;;;;;;;319,62;319,62;0,00;3,00;100,00;152,38;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;5.938,69;160,72;36,95;2,05;;;;;;;;;;;5.939,26;5.939,26;1.482,98;69,95;93,33;2.797,30;0,00;0,00;0,00;50,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;35.765,14;253,49;141,09;3,07;;;;;;;;;;;35.766,23;35.766,23;3.355,53;139,09;98,58;13.487,83;0,00;0,00;0,00;22,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;4.331,05;175,84;24,63;2,31;;;;;;;;;;;4.331,22;4.331,22;510,33;24,63;100,00;1.402,16;0,00;0,00;0,00;5,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;602,88;301,44;2,00;2,00;;;;;;;;;;;602,88;602,88;0,00;2,00;100,00;102,72;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;8.851,62;172,21;51,40;2,46;;;;;;;;;;;8.852,07;8.852,07;563,82;49,40;96,11;3.662,29;0,00;0,00;0,00;8,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;0,00;0,00;1,92;4,09;;;;;;;;;;;267,41;0,00;0,00;1,92;100,00;224,41;267,41;2,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;2.814,01;2.814,01;1.022,35;15,00;100,00;919,49;0,00;0,00;0,00;7,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;661,66;132,33;5,00;2,40;;;;;;;;;;;661,66;661,66;86,72;5,00;100,00;503,49;0,00;0,00;0,00;1,00
