Listar Por Lojas;Quebrar Por Forma de pagamento;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;15.216,30;182,80;83,24;2,30;;;;;;;;;;;15.216,38;15.216,38;2.782,08;80,24;96,40;6.894,10;0,00;0,00;0,00;26,16
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;11.780,33;316,17;37,26;2,86;;;;;;;;;;;11.780,39;11.780,39;1.102,50;36,26;97,32;3.914,38;0,00;0,00;0,00;13,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;9.195,05;183,53;50,10;2,27;;;;;;;;;;;9.195,15;9.195,15;1.573,22;49,10;98,00;3.330,05;0,00;0,00;0,00;20,00
24617 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;0,00;0,00;0,67;1,34;;;;;;;;;;;234,79;0,00;209,89;0,67;100,00;16,14;234,80;2,00;0,00;0,55
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;15.933,00;146,42;108,82;2,36;;;;;;;;;;;15.933,42;15.933,42;3.881,38;118,90;89,52;6.498,32;0,00;0,00;0,00;45,62
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;77.119,10;233,98;329,60;3,14;;;;;;;;;;;77.119,18;77.119,18;8.809,12;311,50;94,51;28.850,97;0,00;0,00;0,00;67,01
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;7.959,34;159,67;49,85;2,75;;;;;;;;;;;7.959,34;7.959,34;1.044,68;45,85;91,98;2.937,33;0,00;0,00;0,00;11,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;703,78;175,94;4,00;2,75;;;;;;;;;;;703,78;703,78;0,00;2,00;50,00;468,11;0,00;0,00;0,00;0,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;13.673,98;150,81;90,67;2,56;;;;;;;;;;;13.673,98;13.673,98;2.904,89;79,41;87,58;4.506,01;0,00;0,00;0,00;29,03
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;-0,02;0,00;7,36;3,14;;;;;;;;;;;1.812,08;-0,02;273,80;4,63;62,91;523,97;1.812,10;8,00;0,00;1,63
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;202,80;202,80;1,00;2,00;;;;;;;;;;;2.998,02;2.998,02;385,64;2,00;9,09;330,33;0,00;0,00;0,00;6,00
24668 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;1.780,45;183,55;9,70;2,86;;;;;;;;;;;1.780,45;1.780,45;247,86;5,70;58,76;1.422,26;0,00;0,00;0,00;2,70
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;8.654,33;198,68;43,56;2,75;;;;;;;;;;;8.654,56;8.654,56;1.333,37;51,56;98,10;4.291,16;0,00;0,00;0,00;15,13
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;50.901,07;228,53;222,73;3,14;;;;;;;;;;;50.901,19;50.901,19;5.005,33;221,73;99,55;23.294,95;0,00;0,00;0,00;50,96
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;4.150,01;155,14;26,75;2,21;;;;;;;;;;;4.150,01;4.150,01;824,08;26,75;100,00;1.766,34;0,00;0,00;0,00;10,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;1.647,06;244,37;6,74;3,85;;;;;;;;;;;1.647,06;1.647,06;0,00;6,74;100,00;1.176,91;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;9.527,73;163,31;58,34;2,46;;;;;;;;;;;9.527,75;9.527,75;1.328,27;58,34;100,00;3.874,31;0,00;0,00;0,00;19,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;29 - CREDIARIO;506,12;253,06;2,00;3,00;;;;;;;;;;;506,12;506,12;0,00;2,00;100,00;361,28;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;-0,01;0,00;2,87;2,37;;;;;;;;;;;505,07;-0,01;69,90;2,87;100,00;72,52;505,08;3,00;0,00;0,91
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;2.837,31;2.837,31;416,54;4,00;28,57;273,94;0,00;0,00;0,00;5,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;633,65;158,41;4,00;2,75;;;;;;;;;;;633,65;633,65;0,00;4,00;100,00;524,25;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;8.512,33;162,64;52,34;2,54;;;;;;;;;;;8.512,58;8.512,58;2.062,96;64,34;96,99;4.635,87;0,00;0,00;0,00;24,76
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;63.314,10;287,26;220,41;3,41;;;;;;;;;;;63.314,17;63.314,17;3.899,39;218,41;99,09;34.213,24;0,00;0,00;0,00;34,01
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;6.227,40;218,66;28,48;2,81;;;;;;;;;;;6.227,41;6.227,41;540,91;27,48;96,49;2.727,04;0,00;0,00;0,00;6,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;115,80;115,80;1,00;2,00;;;;;;;;;;;115,80;115,80;0,00;1,00;100,00;0,00;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25 - POS DEBITO;646,00;646,00;1,00;5,00;;;;;;;;;;;646,00;646,00;0,00;1,00;100,00;348,50;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;13.443,10;167,47;80,27;2,41;;;;;;;;;;;13.443,11;13.443,11;2.225,06;80,27;100,00;7.856,00;0,00;0,00;0,00;22,29
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;-0,01;0,00;3,51;1,48;;;;;;;;;;;668,59;-0,01;493,69;3,51;100,00;187,50;668,60;4,00;0,00;2,94
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;1.833,04;1.833,04;1.058,89;16,00;100,00;310,36;0,00;0,00;0,00;12,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - DINHEIRO;7.446,18;162,69;45,77;2,04;;;;;;;;;;;7.446,43;7.446,43;1.853,01;49,77;90,87;4.255,11;0,00;0,00;0,00;20,99
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;22 - TEF CREDITO;45.472,54;247,51;183,72;3,35;;;;;;;;;;;45.473,19;45.473,19;3.763,05;178,72;97,28;29.304,92;0,00;0,00;0,00;26,37
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;23 - TEF DEBITO;5.251,74;220,94;23,77;2,90;;;;;;;;;;;5.251,78;5.251,78;872,86;22,77;95,79;3.342,20;0,00;0,00;0,00;8,08
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - POS CREDITO;304,84;304,84;1,00;2,00;;;;;;;;;;;304,84;304,84;0,00;1,00;100,00;44,96;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;25 - POS DEBITO;72,35;72,35;1,00;1,00;;;;;;;;;;;72,35;72,35;72,35;1,00;100,00;7,00;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - PIX NO PDV;9.475,50;163,12;58,09;2,23;;;;;;;;;;;9.475,61;9.475,61;2.098,13;55,09;94,84;5.831,53;0,00;0,00;0,00;19,63
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;30 - VALE TROCA;0,00;0,00;1,92;1,00;;;;;;;;;;;349,81;0,00;349,81;1,92;100,00;37,17;349,81;2,00;0,00;1,92
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;32 - VALE PRESENTE;299,98;410,93;0,73;3,01;;;;;;;;;;;299,99;299,99;0,00;0,73;100,00;75,04;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;36 - OMNI;0,00;0,00;0,00;0,00;;;;;;;;;;;2.481,44;2.481,44;372,87;15,00;100,00;162,31;0,00;0,00;0,00;6,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;37 - Pix Bancário;457,94;228,97;2,00;1,50;;;;;;;;;;;457,94;457,94;379,90;2,00;100,00;19,76;0,00;0,00;0,00;1,00
