Listar Por Lojas;Quebrar Por Canal de venda;GMV-GMV;GMV-Boleto médio;GMV-Qtd de boletos;GMV-Itens por boleto;Meta receita-Receita com Estoque Externo;Meta receita-Meta receita;Meta receita-Atingimento;Meta receita-Crescimento ano anterior;Meta receita-Receita Estoque Externo;Meta receita-Participação receita Estoque Externo;Meta complementar-Meta boleto médio;Meta complementar-Atingimento meta boleto médio;Meta complementar-Meta itens por boleto;Meta complementar-Atingimento itens por boleto;Valores de vendas-Receita líquida;Valores de vendas-Receita líquida (-) trocas;Valores de vendas-B1;Fidelidade-Qtd de boletos;Fidelidade-Penetração boletos;Descontos-Total de descontos;Trocas-Trocas;Trocas-Qtd de trocas;Cartão presente-Recarga;Quantitativo-B1
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - Whatsapp Oficial;2.598,80;199,91;13,00;3,23;;;;;;;;;;;2.598,82;2.598,82;0,00;13,00;100,00;2.310,18;0,00;0,00;0,00;0,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;4 - Whatsapp Loja;108,32;108,32;1,00;1,00;;;;;;;;;;;108,32;108,32;108,32;1,00;100,00;31,58;0,00;0,00;0,00;1,00
24669 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;8 - LIVE COMMERCE;1.018,20;254,55;4,00;3,25;;;;;;;;;;;1.018,20;1.018,20;0,00;4,00;100,00;326,50;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;56.162,84;206,48;272,00;2,65;;;;;;;;;;;56.970,31;56.164,01;7.517,95;308,00;96,86;20.787,11;806,30;5,00;0,00;106,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - Parcerias;0,00;0,00;0,00;0,00;;;;;;;;;;;1.896,54;1.896,54;976,51;14,00;100,00;216,36;0,00;0,00;0,00;8,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - Cabelos Experimentação;2.173,40;362,23;6,00;5,00;;;;;;;;;;;2.173,42;2.173,42;0,00;6,00;100,00;1.878,48;0,00;0,00;0,00;0,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - Skin Experimentação;14.257,07;316,82;45,00;3,18;;;;;;;;;;;14.257,46;14.257,46;489,70;44,00;97,78;4.517,99;0,00;0,00;0,00;3,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;24 - Calçada Perfumada;3.830,42;255,36;15,00;3,33;;;;;;;;;;;3.830,51;3.830,51;179,90;14,00;93,33;1.866,74;0,00;0,00;0,00;2,00
24670 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - Whatsapp Oficial;859,37;171,87;5,00;1,80;;;;;;;;;;;859,37;859,37;250,91;5,00;100,00;212,33;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;Sem Identificação;0,00;0,00;0,00;0,00;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;1 - Loja;25.842,29;168,90;153,00;2,24;;;;;;;;;;;25.908,53;25.843,82;3.828,04;183,00;95,81;10.795,42;64,71;1,00;0,00;73,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;11 - Parcerias;0,00;0,00;0,00;0,00;;;;;;;;;;;2.814,01;2.814,01;1.022,35;15,00;100,00;919,49;0,00;0,00;0,00;7,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;13 - Cabelos Experimentação;3.888,06;299,08;13,00;4,46;;;;;;;;;;;4.090,80;3.888,10;0,00;13,00;100,00;1.669,15;202,70;1,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;14 - Make Experimentação;1.277,04;319,26;4,00;3,50;;;;;;;;;;;1.277,06;1.277,06;0,00;4,00;100,00;684,64;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;15 - Skin Experimentação;21.113,39;270,68;78,00;3,33;;;;;;;;;;;21.113,96;21.113,96;1.744,62;78,00;100,00;7.576,73;0,00;0,00;0,00;11,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;26 - Grupo de promoções;523,50;523,50;1,00;5,00;;;;;;;;;;;523,53;523,53;0,00;1,00;100,00;130,97;0,00;0,00;0,00;0,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;3 - Whatsapp Oficial;2.142,80;214,28;10,00;2,70;;;;;;;;;;;2.142,82;2.142,82;86,72;9,00;90,00;996,63;0,00;0,00;0,00;1,00
24671 - ACQUA DISTRIBUIDORA DE PERFUMES E COSMETICOS LTDA;8 - LIVE COMMERCE;1.363,98;340,99;4,00;2,25;;;;;;;;;;;1.364,03;1.364,03;340,00;4,00;100,00;326,67;0,00;0,00;0,00;1,00
